Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-29,48.54843034142275,48.63951766266431,46.99998062657651,47.182151794433594,31199764,0.0,0
2020-06-30,47.72866437636744,48.184090549902905,47.40986397011704,47.637577056884766,21623971,0.0,0
2020-07-02,47.27323808278643,49.73253663393205,47.27323808278643,49.64145278930664,31223103,0.0,0
2020-07-03,49.778083801269524,49.86916764913441,49.04939911984616,49.77808380126953,24298275,0.0,0
2020-07-06,50.05134019343243,52.78389739990234,49.869169018075866,52.783897399902344,44310210,0.0,0
2020-07-07,52.82943650294536,53.10269151406988,51.09881564144676,51.372074127197266,33510838,0.0,0
2020-07-08,51.91858443040448,52.146297520011515,50.91664822598391,51.09881591796875,24382539,0.0,0
2020-07-09,51.78195490657105,52.10075531507131,51.05327371869701,51.372074127197266,19714134,0.0,0
2020-07-10,50.64338837922914,51.37207302611086,49.641452201705626,50.005794525146484,17992882,0.0,0
2020-07-13,49.82362652116029,50.46122389027865,49.82362652116029,50.187965393066406,17651367,0.0,0
2020-07-14,50.09687928320718,50.23350852564813,49.094943087393425,49.55036926269531,17800502,0.0,0
2020-07-15,50.096881666677604,50.18796551622111,49.09494542319451,49.231571197509766,15119440,0.0,0
2020-07-16,49.23156769927255,49.82362310311418,49.09494193466548,49.14048385620117,17951233,0.0,0
2020-07-17,50.096881684085595,50.096881684085595,49.23157121461707,49.32265853881836,12682343,0.0,0
2020-07-20,49.186029904387716,49.41374300579692,48.59397445087332,48.958316802978516,14015293,0.0,0
2020-07-21,48.95831384495247,49.686995030510296,48.77614267990653,49.55036926269531,13670113,0.0,0
2020-07-22,49.55037288488723,49.82362791511844,48.59397506713867,48.59397506713867,15929817,0.0,0
2020-07-23,48.59397603535494,48.73060529050594,47.68312360001838,48.229637145996094,22189697,0.0,0
2020-07-24,48.593976821739524,49.41374541665906,48.27517985406323,48.73060607910156,21086572,0.0,0
2020-07-27,49.14048747332846,49.231571323104326,48.275177001953125,48.275177001953125,18202728,0.0,0
2020-07-28,48.912774374262646,48.958316299150574,47.86529272870943,48.275177001953125,14200892,0.0,0
2020-07-29,47.910835768826,48.821688186291325,47.910835768826,48.685062408447266,20083516,0.0,0
2020-07-30,49.09494522040719,49.36820024253516,48.27517667939717,48.36626052856445,26848002,0.0,0
2020-07-31,48.457347852357856,49.140487144990836,48.32071860398081,48.36626052856445,18408853,0.0,0
2020-08-03,48.184095376628036,49.140489741931816,48.184095376628036,49.094947814941406,17744852,0.0,0
2020-08-04,49.231569151512126,50.096879584718835,48.82168489634832,49.36819839477539,20552728,0.0,0
2020-08-05,49.23157048196456,50.82556214819133,49.186028557854726,50.55230712890625,17633652,0.0,0
2020-08-06,50.3245947651625,50.41567861470601,49.18602927273801,49.231571197509766,22722660,0.0,0
2020-08-07,49.094949547511135,49.45928845091829,48.59397790905835,49.04940414428711,18555871,0.0,0
2020-08-10,49.55037212204472,50.50676645044309,49.140487845695084,49.914710998535156,16768536,0.0,0
2020-08-11,50.96219098856078,51.7364141161293,50.506764801843744,51.69087219238281,25565730,0.0,0
2020-08-12,51.463158799716076,52.10075615233688,50.55230643157951,51.873043060302734,21579889,0.0,0
2020-08-13,52.32847107050351,54.9243990204337,52.055216045451836,53.740291595458984,62123293,0.0,0
2020-08-14,53.64920662550115,54.24125858831757,53.01160926393832,53.42149353027344,19780191,0.0,0
2020-08-17,53.28486600842957,54.1046345676405,53.19378215724,53.37594985961914,18029919,0.0,0
2020-08-18,53.51257866976755,55.015486524385956,53.42149481932905,54.5145149230957,21754824,0.0,0
2020-08-19,54.42342910632887,54.42342910632887,53.14823439850589,53.603660583496094,13957559,0.0,0
2020-08-20,53.33040597300684,53.33040597300684,52.14629857795235,52.46509552001953,23459739,0.0,0
2020-08-21,52.87497858225501,53.23932091458382,52.55618164743679,53.19377899169922,14832254,0.0,0
2020-08-24,52.92052476317809,54.05909030003327,52.92052476317809,53.78583526611328,13694139,0.0,0
2020-08-25,53.7402907616594,53.785832686023724,52.92052222459721,53.14823532104492,15833836,0.0,0
2020-08-26,53.69474792480469,54.19571603355096,53.37594751041994,53.69474792480469,16370568,0.0,0
2020-08-27,54.143608004581125,54.143608004581125,51.946067428027256,52.32011795043945,23101665,1.53,0
2020-08-28,51.99282245749644,53.02145960272932,51.57202008198448,52.179847717285156,21264292,0.0,0
2020-08-31,53.30199643567096,53.489021698010085,50.63689804077148,50.636898040771484,32823796,0.0,0
2020-09-01,50.49662608457411,51.38499336802251,50.309600830078125,50.309600830078125,22825303,0.0,0
2020-09-02,50.07582248277959,50.2628477459741,49.37448042120786,49.60826110839844,27884327,0.0,0
2020-09-03,49.42123452855223,50.26284640690066,49.18745384758991,49.56150436401367,22110628,0.0,0
2020-09-04,49.42123492400033,50.449872068791365,49.14069881804282,49.70177459716797,45111230,0.0,0
2020-09-07,49.18745422363281,49.608260166024124,48.90691811777531,49.18745422363281,23389703,0.0,0
2020-09-08,50.26284618021998,50.356357025299154,49.5147487179564,50.07582092285156,16327357,0.0,0
2020-09-09,49.748533709051316,50.356361389160156,49.60826386206676,50.356361389160156,19464855,0.0,0
2020-09-10,50.49662749191592,50.49662749191592,49.37447950087577,49.70177459716797,14485592,0.0,0
2020-09-11,49.93555528000091,50.21609138595842,49.467993914335025,49.70177459716797,11785404,0.0,0
2020-09-14,49.7485286338002,50.449870662752616,49.60825880112571,50.309600830078125,14475795,0.0,0
2020-09-15,49.935554655232814,50.309601602759564,49.65501498557515,50.07582092285156,13135363,0.0,0
2020-09-16,50.26284908252577,50.26284908252577,49.561507002304474,49.6550178527832,11029367,0.0,0
2020-09-17,49.935557651225004,49.935557651225004,48.71989518899903,49.00043487548828,16923973,0.0,0
2020-09-18,49.32772391018028,49.46799374628759,48.86016254610274,49.04718780517578,27080554,0.0,0
2020-09-21,49.467993978889986,49.514749402075566,48.39260140957102,48.53287124633789,28351473,0.0,0
2020-09-22,48.53287162880969,48.67313789947182,47.971795844530696,48.15882110595703,14704054,0.0,0
2020-09-23,47.69126246990024,48.0185540207507,47.31721192560511,47.59775161743164,14367903,0.0,0
2020-09-24,47.176942468781625,47.36396772833005,46.61586669013635,46.709381103515625,19890200,0.0,0
2020-09-25,46.94316116181101,47.691258622845,46.94316116181101,47.08342742919922,12561942,0.0,0
2020-09-28,46.89640518862526,47.317207553058296,46.42884383506851,46.80289077758789,14300127,0.0,0
2020-09-29,46.66262495352055,46.896405632511716,45.77425765991211,45.77425765991211,21987881,0.0,0
2020-09-30,46.38208756302034,46.98991878513504,45.6339900669478,46.2418212890625,25181823,0.0,0
